N,Connection
10,17
20,37
40,85
80,210
160,451
320,1042
640,2237
1280,5008
2560,10688
5120,23480
10240,51454
20480,107004
40960,232869
81920,488628
163840,1034098
327680,2172151
655360,4559449
1310720,9722331
2621440,19756552
5242880,42804257
