N,Connection
10,17
20,38
40,88
80,205
160,446
320,1030
640,2288
1280,4968
2560,10655
5120,23740
10240,49466
20480,109675
40960,230453
81920,494007
163840,1032257
327680,2151918
655360,4571104
1310720,9529689
2621440,20173586
