M,N,Time
846,1000,0.096858
1860,2000,0.073629
4085,4000,0.08486700000000001
8971,8000,0.21368600000000001
19704,16000,0.536255
43273,32000,1.173546
95037,64000,2.661668
208719,128000,6.164587
458385,256000,17.433871
1006700,512000,40.8269
