M,N,Time
846,1000,0.136308
1860,2000,0.272577
4085,4000,0.16916599999999998
8971,8000,0.351009
19704,16000,0.878085
43273,32000,1.787629
95037,64000,3.944566
208719,128000,12.424855
458385,256000,27.154387999999997
1006700,512000,69.80419
