M,N,Time
846,1000,0.08529
1860,2000,0.097917
4085,4000,0.10096
8971,8000,0.228711
19704,16000,0.517259
43273,32000,1.205131
95037,64000,2.725275
208719,128000,9.460682
458385,256000,20.70549
1006700,512000,53.836162
